===== BÁO CÁO HUẤN LUYỆN MÔ HÌNH XGBoost =====
Thời gian chạy: 20250626_103619

--- THÔNG SỐ THỬ NGHIỆM ---
Model: XGBoost
- objective: reg:squarederror
- eval_metric: mae
- eta: 0.01
- max_depth: 5
- subsample: 0.8
- colsample_bytree: 0.8
- lambda: 1.2
- alpha: 0.8
- n_estimators: 2000
- seed: 42
- n_jobs: -1
- tree_method: hist
- early_stopping_rounds: 10
- validation_indicator_col: validation_0
Lookback: 6
Data file: weather.csv

--- KẾT QUẢ HUẤN LUYỆN ---
Total training time: 1.2 seconds
Số cây (boosting rounds) đã chạy: 573
Best score (val_mae): 0.155617

--- KẾT QUẢ ĐÁNH GIÁ TRÊN TẬP TEST (THANG ĐO GỐC) ---
Test MSE: 0.351575
Test MAE: 0.152086
Test RMSE: 0.592938
Test RRSE: 0.948581

--- CÁC FILE ĐÃ LƯU ---
Model đã lưu: xgb_model_20250626_103619.json
Biểu đồ evaluation curve: eval_curve_20250626_103619_xgb_rounds573_lr0.01_lb6.png
Biểu đồ feature importance: feature_importance_20250626_103619_xgb_rounds573_lr0.01_lb6.png
Biểu đồ so sánh thực tế/dự đoán: compare_test_20250626_103619_xgb_rounds573_lr0.01_lb6.png
==================================================

--- LỊCH SỬ MAE TRÊN VALIDATION QUA CÁC EPOCH ---
Epoch 1: val_mae = 0.214862
Epoch 2: val_mae = 0.214252
Epoch 3: val_mae = 0.213526
Epoch 4: val_mae = 0.212801
Epoch 5: val_mae = 0.212217
Epoch 6: val_mae = 0.211543
Epoch 7: val_mae = 0.211000
Epoch 8: val_mae = 0.210445
Epoch 9: val_mae = 0.209780
Epoch 10: val_mae = 0.209160
Epoch 11: val_mae = 0.208687
Epoch 12: val_mae = 0.208054
Epoch 13: val_mae = 0.207414
Epoch 14: val_mae = 0.206943
Epoch 15: val_mae = 0.206353
Epoch 16: val_mae = 0.205777
Epoch 17: val_mae = 0.205326
Epoch 18: val_mae = 0.204933
Epoch 19: val_mae = 0.204361
Epoch 20: val_mae = 0.203905
Epoch 21: val_mae = 0.203472
Epoch 22: val_mae = 0.202913
Epoch 23: val_mae = 0.202408
Epoch 24: val_mae = 0.201873
Epoch 25: val_mae = 0.201384
Epoch 26: val_mae = 0.200884
Epoch 27: val_mae = 0.200369
Epoch 28: val_mae = 0.199870
Epoch 29: val_mae = 0.199391
Epoch 30: val_mae = 0.198905
Epoch 31: val_mae = 0.198562
Epoch 32: val_mae = 0.198087
Epoch 33: val_mae = 0.197753
Epoch 34: val_mae = 0.197291
Epoch 35: val_mae = 0.196822
Epoch 36: val_mae = 0.196386
Epoch 37: val_mae = 0.195928
Epoch 38: val_mae = 0.195551
Epoch 39: val_mae = 0.195230
Epoch 40: val_mae = 0.194790
Epoch 41: val_mae = 0.194373
Epoch 42: val_mae = 0.193987
Epoch 43: val_mae = 0.193590
Epoch 44: val_mae = 0.193181
Epoch 45: val_mae = 0.192879
Epoch 46: val_mae = 0.192505
Epoch 47: val_mae = 0.192092
Epoch 48: val_mae = 0.191727
Epoch 49: val_mae = 0.191373
Epoch 50: val_mae = 0.190989
Epoch 51: val_mae = 0.190686
Epoch 52: val_mae = 0.190313
Epoch 53: val_mae = 0.190025
Epoch 54: val_mae = 0.189645
Epoch 55: val_mae = 0.189280
Epoch 56: val_mae = 0.188911
Epoch 57: val_mae = 0.188564
Epoch 58: val_mae = 0.188213
Epoch 59: val_mae = 0.187849
Epoch 60: val_mae = 0.187597
Epoch 61: val_mae = 0.187342
Epoch 62: val_mae = 0.187023
Epoch 63: val_mae = 0.186705
Epoch 64: val_mae = 0.186405
Epoch 65: val_mae = 0.186110
Epoch 66: val_mae = 0.185762
Epoch 67: val_mae = 0.185481
Epoch 68: val_mae = 0.185174
Epoch 69: val_mae = 0.184874
Epoch 70: val_mae = 0.184606
Epoch 71: val_mae = 0.184363
Epoch 72: val_mae = 0.184143
Epoch 73: val_mae = 0.183860
Epoch 74: val_mae = 0.183620
Epoch 75: val_mae = 0.183330
Epoch 76: val_mae = 0.183036
Epoch 77: val_mae = 0.182802
Epoch 78: val_mae = 0.182539
Epoch 79: val_mae = 0.182300
Epoch 80: val_mae = 0.182021
Epoch 81: val_mae = 0.181767
Epoch 82: val_mae = 0.181510
Epoch 83: val_mae = 0.181272
