===== BÁO CÁO HUẤN LUYỆN MÔ HÌNH XGBoost =====
Thời gian chạy: 20250626_163744

--- THÔNG SỐ THỬ NGHIỆM ---
Model: XGBoost
- objective: reg:squarederror
- eval_metric: mae
- eta: 0.02
- max_depth: 8
- subsample: 0.9
- colsample_bytree: 0.8
- lambda: 0.5
- alpha: 0.5
- n_estimators: 1000
- seed: 42
- n_jobs: -1
- tree_method: hist
- early_stopping_rounds: 100
- validation_indicator_col: validation_0
Lookback: 6
Data file: weather.csv

--- KẾT QUẢ HUẤN LUYỆN ---
Total training time: 1.4 seconds
Số cây (boosting rounds) đã chạy: 273
Best score (val_mae): 0.156280

--- KẾT QUẢ ĐÁNH GIÁ TRÊN TẬP TEST (THANG ĐO GỐC) ---
Test MSE: 0.350821
Test MAE: 0.153948
Test RMSE: 0.592301
Test RRSE: 0.947563

--- CÁC FILE ĐÃ LƯU ---
Model đã lưu: xgb_model_20250626_163744.json
Biểu đồ evaluation curve: eval_curve_20250626_163744_xgb_rounds273_lr0.02_lb6.png
Biểu đồ feature importance: feature_importance_20250626_163744_xgb_rounds273_lr0.02_lb6.png
Biểu đồ so sánh thực tế/dự đoán: compare_test_20250626_163744_xgb_rounds273_lr0.02_lb6.png
==================================================

--- LỊCH SỬ MAE TRÊN VALIDATION QUA CÁC EPOCH ---
Epoch 1: val_mae = 0.214023
Epoch 2: val_mae = 0.212701
Epoch 3: val_mae = 0.211260
Epoch 4: val_mae = 0.209900
Epoch 5: val_mae = 0.208722
Epoch 6: val_mae = 0.207383
Epoch 7: val_mae = 0.206329
Epoch 8: val_mae = 0.205304
Epoch 9: val_mae = 0.204015
Epoch 10: val_mae = 0.202814
Epoch 11: val_mae = 0.201885
Epoch 12: val_mae = 0.200795
Epoch 13: val_mae = 0.199639
Epoch 14: val_mae = 0.198716
Epoch 15: val_mae = 0.197644
Epoch 16: val_mae = 0.196622
Epoch 17: val_mae = 0.195710
Epoch 18: val_mae = 0.195065
Epoch 19: val_mae = 0.194144
Epoch 20: val_mae = 0.193384
Epoch 21: val_mae = 0.192693
Epoch 22: val_mae = 0.191856
Epoch 23: val_mae = 0.191024
Epoch 24: val_mae = 0.190207
Epoch 25: val_mae = 0.189420
Epoch 26: val_mae = 0.188620
Epoch 27: val_mae = 0.187810
Epoch 28: val_mae = 0.187060
